,Day,Spread,Pred_Total,Away Money Line,Home Money Line,Year,Week,prev_TE allowed_Favorite,prev_TE allowed_Underdog,prev_RB allowed_Favorite,prev_RB allowed_Underdog,prev_K allowed_Favorite,prev_K allowed_Underdog,prev_QB allowed_Favorite,prev_QB allowed_Underdog,prev_Total FPts allowed_Favorite,prev_Total FPts allowed_Underdog,Model_Preds,True_Gold,Model_Correct
413,2.0,-0.05267020581186484,0.03181122460385002,-0.06064905152037186,0.033254672005856266,1.0,10.0,0.014541404715778822,0.011198184609244958,0.0257639218146802,0.02935745511443745,0.044620695084314,0.03614087581160976,0.04184254764355692,0.02227030430165717,0.038862869830166666,0.029200898688262013,Under,Under,1
196,2.0,-0.04809018791518094,0.025943134628382537,0.008881520003152867,-0.012582080388909856,0.0,13.0,0.005150080836838334,0.0023575125493147282,0.006690079145248449,0.018148244979834062,0.0034323611603318464,0.003285534164691796,0.004607098006002497,0.012991010842633346,0.007141992067091429,0.01347113282027557,Under,Under,1
282,2.0,-0.025190098431761444,0.023472359901869917,-0.025786161360702317,0.016627336002928133,1.0,1.0,0.0018176755894723528,0.02622732711112635,0.019643211107325236,0.03869846355994029,0.013729444641327386,0.013142136658767184,0.023887487606465002,0.020536141261774027,0.0162785254203738,0.025226291182225344,Over,Under,0
453,2.0,-0.029770116328445336,0.029340449877337395,0.02269182199741804,-0.023278270404099386,1.0,13.0,0.012420783194727744,0.010314117403251936,0.013380158290496895,0.013077411823703958,0.013729444641327386,0.009856602494075387,0.010949746630704565,0.02427828255836396,0.016048386041197925,0.024624966799393227,Under,Under,1
977,3.0,-0.018320071586735598,0.03366430564873448,0.018256602243377242,-0.01596224256281101,3.0,14.0,0.021206215210510783,0.01090349554058062,0.02974950087993458,0.02909056915885166,0.02059416696199108,0.029569807482226162,0.029315027723125477,0.018254347788243582,0.026841922924546624,0.023172988411579096,Over,Over,1
938,2.0,-0.02290008948341949,0.030575837240593706,0.01959748263413376,-0.01745870280307454,3.0,11.0,0.007876594221046864,0.027700772454448054,0.05508639636619468,0.02468695089168604,0.04118833392398216,0.01642767082345898,0.049258082105273264,0.03596106514283985,0.05121368317927216,0.03715744692451623,Under,Under,1
704,3.0,-0.009160035793367795,0.03181122460385002,0.012377357453137113,-0.010807768401903287,2.0,13.0,0.029082809431557645,0.0053044032359581385,0.03159994830308841,0.02855679724768007,0.006864722320663693,0.009856602494075387,0.026790590459562464,0.031062815152994493,0.024655598822375783,0.02340031836118636,Under,Under,1
807,2.0,-0.009160035793367795,0.02872275619570924,-0.01268679138946554,0.009394444841654396,3.0,2.0,0.027568079773664017,0.031237041278420145,0.01622700047996432,0.02201809133582809,0.01029708348099554,0.009856602494075387,0.05285540520585056,0.017280782572870586,0.04269085483712545,0.02216833669879861,Under,Over,0
852,2.0,-0.009160035793367795,0.030575837240593706,0.011655344935037448,-0.0102258116418008,3.0,5.0,0.007876594221046864,0.025048570836468984,0.0341621062736091,0.01881545986879855,0.01716180580165923,0.01642767082345898,0.011202190357060864,0.02205733691079432,0.018296080644482342,0.02489629609408577,Over,Under,0
485,1.0,-0.020610080535077544,0.028413909354895163,-0.02166037554298995,0.014964602402635318,1.0,15.0,0.008482486084204313,0.038898957063693014,0.023771132282053,0.05444473493950218,0.044620695084314,0.029569807482226162,0.017387061652790244,0.02427828255836396,0.024287375815694373,0.03276484564016943,Under,Under,1
44,2.0,-0.009160035793367795,0.027178521991638848,0.010830187771494977,-0.010392085001830084,0.0,2.0,0.0,0.062179393488175964,0.013807184618917008,0.02495383684727184,0.044620695084314,0.059139614964452324,0.034111458523895195,0.042958565128333216,0.03192033189169434,0.04430734050087369,Over,Over,1
1193,2.0,-0.009160035793367795,0.028413909354895163,-0.013202514616679588,0.00872935140153727,4.0,11.0,0.022599103801547598,0.016207898776538755,0.026158487469854,0.019749560713348838,0.025522957142262912,0.029569807482226162,0.02617496304407716,0.012991010842633346,0.02757684066859459,0.02227100183733092,Over,Under,0
220,2.0,-0.03206012527678729,0.025016594105940305,0.008909489563374591,-0.012426610125001058,0.0,14.0,0.02060032334735333,0.042435225887665115,0.03003418509888133,0.04403618267165618,0.051485417404977696,0.019713204988150775,0.015430622773528909,0.02175309778099026,0.02795426325723004,0.031092870526928912,Over,Under,0
29,2.0,-0.02748010738010339,0.033355458807920416,0.025786161360702317,-0.0249410040043922,0.0,1.0,0.006967756426310686,0.015913209707874416,0.018077447903118143,0.02468695089168604,0.04805305624464585,0.052568546635068734,0.026222592075260787,0.012717195625809693,0.03153676625973455,0.021508346522519456,Under,Under,1
31,0.0,-0.02748010738010339,0.028413909354895163,0.02269182199741804,-0.022446903603952982,0.0,1.0,0.013026675057885195,0.01915478946318216,0.037435974791496636,0.007873135689780954,0.03089125044298661,0.0,0.025086595306657432,0.01679399996518409,0.028000291133065208,0.016404422492627354,Over,Under,0
374,2.0,-0.02290008948341949,0.027178521991638848,0.01959748263413376,-0.019121436403367352,1.0,7.0,0.022599103801547598,0.016207898776538755,0.026158487469854,0.01681381520190509,0.025522957142262912,0.013142136658767184,0.02617496304407716,0.010435402152279245,0.02757684066859459,0.017841734432079728,Over,Over,1
796,2.0,-0.009160035793367795,0.027487368832452928,-0.013099369971236778,0.009560718201683676,3.0,1.0,0.011511945399991569,0.010019428334587594,0.030888237755721564,0.02722236746975109,0.027458889282654768,0.029569807482226162,0.01741861711858478,0.010891760846985336,0.02352791586441397,0.019711706598203992,Over,Over,1
